Ward,Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
32,15,696,573,82.33%,107,15.37%,3,0.43%,3,0.43%,1,0.14%,9,1.29%
32,16,715,620,86.71%,86,12.03%,2,0.28%,1,0.14%,1,0.14%,5,0.70%
32,17,656,592,90.24%,44,6.71%,4,0.61%,6,0.91%,0,0%,10,1.52%
32,18,733,591,80.63%,128,17.46%,3,0.41%,1,0.14%,0,0%,10,1.36%
32,19,702,607,86.47%,77,10.97%,4,0.57%,1,0.14%,0,0%,13,1.85%
32,20,654,601,91.90%,40,6.12%,10,1.53%,1,0.15%,1,0.15%,1,0.15%
32,21,736,640,86.96%,79,10.73%,2,0.27%,2,0.27%,1,0.14%,12,1.63%
32,22,824,747,90.66%,56,6.80%,4,0.49%,6,0.73%,1,0.12%,10,1.21%
32,23,785,664,84.59%,103,13.12%,1,0.13%,1,0.13%,3,0.38%,13,1.66%
32,24,681,522,76.65%,144,21.15%,3,0.44%,0,0%,0,0%,12,1.76%
32,25,721,618,85.71%,92,12.76%,3,0.42%,0,0%,2,0.28%,6,0.83%
32,26,704,631,89.63%,56,7.95%,7,0.99%,6,0.85%,0,0%,4,0.57%
32,27,840,642,76.43%,176,20.95%,2,0.24%,0,0%,3,0.36%,17,2.02%
32,28,682,619,90.76%,51,7.48%,2,0.29%,1,0.15%,0,0%,9,1.32%
32,29,759,667,87.88%,84,11.07%,2,0.26%,1,0.13%,2,0.26%,3,0.40%
32,30,788,642,81.47%,134,17.01%,5,0.63%,0,0%,0,0%,7,0.89%
32,31,801,655,81.77%,126,15.73%,1,0.12%,3,0.37%,0,0%,16,2.00%
32,32,845,743,87.93%,85,10.06%,3,0.36%,0,0%,0,0%,14,1.66%
32,33,734,603,82.15%,115,15.67%,4,0.54%,0,0%,1,0.14%,11,1.50%
32,34,822,720,87.59%,83,10.10%,2,0.24%,0,0%,0,0%,17,2.07%
32,35,758,626,82.59%,118,15.57%,1,0.13%,2,0.26%,1,0.13%,10,1.32%
32,36,814,706,86.73%,93,11.43%,1,0.12%,1,0.12%,0,0%,13,1.60%
32,37,877,735,83.81%,123,14.03%,5,0.57%,0,0%,0,0%,14,1.60%
32,38,768,630,82.03%,119,15.49%,5,0.65%,1,0.13%,0,0%,13,1.69%
32,39,896,715,79.80%,169,18.86%,1,0.11%,0,0%,1,0.11%,10,1.12%
32,40,751,640,85.22%,97,12.92%,2,0.27%,0,0%,0,0%,12,1.60%
32,41,798,660,82.71%,118,14.79%,2,0.25%,0,0%,2,0.25%,16,2.01%
32,42,740,604,81.62%,121,16.35%,0,0%,1,0.14%,0,0%,14,1.89%
32,43,618,553,89.48%,49,7.93%,4,0.65%,1,0.16%,0,0%,11,1.78%
33,1,750,650,86.67%,87,11.60%,1,0.13%,7,0.93%,1,0.13%,4,0.53%
33,2,"1,009",807,79.98%,180,17.84%,10,0.99%,2,0.20%,5,0.50%,5,0.50%
33,3,978,847,86.61%,105,10.74%,8,0.82%,4,0.41%,1,0.10%,13,1.33%
33,4,972,811,83.44%,138,14.20%,9,0.93%,7,0.72%,0,0%,7,0.72%
33,5,724,610,84.25%,101,13.95%,5,0.69%,1,0.14%,0,0%,7,0.97%
33,6,636,550,86.48%,72,11.32%,5,0.79%,1,0.16%,0,0%,8,1.26%
33,7,770,651,84.55%,106,13.77%,8,1.04%,3,0.39%,0,0%,2,0.26%
33,8,882,778,88.21%,81,9.18%,11,1.25%,4,0.45%,3,0.34%,5,0.57%
33,9,817,670,82.01%,131,16.03%,9,1.10%,2,0.24%,1,0.12%,4,0.49%
33,10,645,536,83.10%,97,15.04%,5,0.78%,2,0.31%,2,0.31%,3,0.47%
33,11,738,603,81.71%,113,15.31%,10,1.36%,5,0.68%,0,0%,7,0.95%
33,12,738,609,82.52%,108,14.63%,6,0.81%,4,0.54%,0,0%,11,1.49%
33,13,675,582,86.22%,83,12.30%,3,0.44%,3,0.44%,1,0.15%,3,0.44%
33,14,352,306,86.93%,41,11.65%,3,0.85%,0,0%,0,0%,2,0.57%
33,15,730,627,85.89%,86,11.78%,7,0.96%,3,0.41%,2,0.27%,5,0.68%
33,16,"1,000",814,81.40%,172,17.20%,4,0.40%,3,0.30%,0,0%,7,0.70%
33,17,756,619,81.88%,117,15.48%,6,0.79%,1,0.13%,3,0.40%,10,1.32%
